time_s,time_h,C_max,C_center,C_surface,R_m
99180.00000000,27.550000000000,0.260847893274,0.260847893274,0.0640131762827,0.01202
99240.00000000,27.566666666667,0.260672002999,0.260672002999,0.0639867994219,0.01202
99300.00000000,27.583333333333,0.260496430544,0.260496430544,0.0639605515128,0.01202
99360.00000000,27.600000000000,0.2603211751,0.2603211751,0.0639344287522,0.01202
99420.00000000,27.616666666667,0.260146235856,0.260146235856,0.0639084276134,0.01202
99480.00000000,27.633333333333,0.259971612008,0.259971612008,0.0638825448189,0.01202
99540.00000000,27.650000000000,0.259797302752,0.259797302752,0.0638567773169,0.01202
99600.00000000,27.666666666667,0.259623307288,0.259623307288,0.0638311222604,0.01202
99660.00000000,27.683333333333,0.259449624818,0.259449624818,0.0638055769881,0.01202
99720.00000000,27.700000000000,0.259276254546,0.259276254546,0.0637801390084,0.01202
99780.00000000,27.716666666667,0.25910319568,0.25910319568,0.0637548059844,0.01202
99840.00000000,27.733333333333,0.25893044743,0.25893044743,0.0637295757204,0.01202
99900.00000000,27.750000000000,0.258758009009,0.258758009009,0.0637044461505,0.01202
99960.00000000,27.766666666667,0.25858587963,0.25858587963,0.0636794153276,0.01202
100020.00000000,27.783333333333,0.258414058512,0.258414058512,0.0636544814139,0.01202
100080.00000000,27.800000000000,0.258242544875,0.258242544875,0.0636296426726,0.01202
100140.00000000,27.816666666667,0.25807133794,0.25807133794,0.0636048974595,0.01202
100200.00000000,27.833333333333,0.257900436934,0.257900436934,0.0635802442165,0.01202
100260.00000000,27.850000000000,0.257729841083,0.257729841083,0.0635556814645,0.01202
100320.00000000,27.866666666667,0.257559549617,0.257559549617,0.0635312077984,0.01202
100380.00000000,27.883333333333,0.257389561769,0.257389561769,0.063506821881,0.01202
100440.00000000,27.900000000000,0.257219876772,0.257219876772,0.0634825224389,0.01202
100500.00000000,27.916666666667,0.257050493864,0.257050493864,0.0634583082574,0.01202
100560.00000000,27.933333333333,0.256881412285,0.256881412285,0.0634341781769,0.01202
100620.00000000,27.950000000000,0.256712631275,0.256712631275,0.0634101310888,0.01202
100680.00000000,27.966666666667,0.256544150079,0.256544150079,0.0633861659328,0.01202
100740.00000000,27.983333333333,0.256375967944,0.256375967944,0.0633622816928,0.01202
100800.00000000,28.000000000000,0.256208084117,0.256208084117,0.0633384773951,0.01202
100860.00000000,28.016666666667,0.25604049785,0.25604049785,0.0633147521047,0.01202
100920.00000000,28.033333333333,0.255873208395,0.255873208395,0.0632911049237,0.01202
100980.00000000,28.050000000000,0.255706215009,0.255706215009,0.0632675349887,0.01202
101040.00000000,28.066666666667,0.255539516948,0.255539516948,0.0632440414685,0.01202
101100.00000000,28.083333333333,0.255373113472,0.255373113472,0.0632206235628,0.01202
101160.00000000,28.100000000000,0.255207003844,0.255207003844,0.0631972804996,0.01202
101220.00000000,28.116666666667,0.255041187328,0.255041187328,0.0631740115343,0.01202
101280.00000000,28.133333333333,0.254875663189,0.254875663189,0.0631508159477,0.01202
101340.00000000,28.150000000000,0.254710430697,0.254710430697,0.0631276930447,0.01202
101400.00000000,28.166666666667,0.254545489122,0.254545489122,0.063104642153,0.01202
101460.00000000,28.183333333333,0.254380837737,0.254380837737,0.063081662622,0.01202
101520.00000000,28.200000000000,0.254216475816,0.254216475816,0.0630587538212,0.01202
